plan,box,task,deadline_s,delivery_s,slack_s,first,category,source_ref
q2,S013-WAT-01,Q2-012,3600,3305.9781986892417,294.0218013107583,是,饮用水,data/q2_boxes.csv
q2,S014-MED-01,Q2-003,3600,1302.7561093050415,2297.2438906949583,是,医疗物资,data/q2_boxes.csv
q2,S014-WAT-01,Q2-003,3600,1302.7561093050415,2297.2438906949583,是,饮用水,data/q2_boxes.csv
q2,S015-MED-01,Q2-008,7200,2912.636020157278,4287.363979842722,是,医疗物资,data/q2_boxes.csv
q2,S015-WAT-01,Q2-006,10800,1257.7665282905032,9542.233471709496,是,饮用水,data/q2_boxes.csv
q3,S001-MED-01,Q3-007,3600,3356.1146889555657,243.88531104443427,是,医疗物资,data/q3_boxes.csv
q3,S001-MED-02,Q3-007,3600,3356.1146889555657,243.88531104443427,否,医疗物资,data/q3_boxes.csv
q3,S001-WAT-01,Q3-007,3600,3356.1146889555657,243.88531104443427,是,饮用水,data/q3_boxes.csv
q3,S002-MED-01,Q3-G3-1,3600,1487.3310830122773,2112.6689169877227,是,医疗物资,data/q3_boxes.csv
q3,S002-WAT-01,Q3-G2-2,3600,3405.1878882716865,194.81211172831354,是,饮用水,data/q3_boxes.csv
q3,S003-MED-01,Q3-016,7200,5313.566067436208,1886.433932563792,是,医疗物资,data/q3_boxes.csv
q3,S003-WAT-01,Q3-016,7200,5313.566067436208,1886.433932563792,是,饮用水,data/q3_boxes.csv
q3,S004-MED-01,Q3-006,7200,3252.2297243812836,3947.7702756187164,是,医疗物资,data/q3_boxes.csv
q3,S004-WAT-01,Q3-006,7200,3252.2297243812836,3947.7702756187164,是,饮用水,data/q3_boxes.csv
q3,S005-MED-01,Q3-M002,10800,8405.554823234696,2394.4451767653045,是,医疗物资,data/q3_boxes.csv
q3,S005-WAT-01,Q3-M002,10800,8405.554823234696,2394.4451767653045,是,饮用水,data/q3_boxes.csv
q3,S006-MED-01,Q3-008,3600,935.501653223247,2664.498346776753,是,医疗物资,data/q3_boxes.csv
q3,S006-WAT-01,Q3-008,3600,935.501653223247,2664.498346776753,是,饮用水,data/q3_boxes.csv
q3,S007-MED-01,Q3-009,3600,3272.4413748288666,327.5586251711334,是,医疗物资,data/q3_boxes.csv
q3,S007-WAT-01,Q3-009,3600,3272.4413748288666,327.5586251711334,是,饮用水,data/q3_boxes.csv
q3,S008-MED-01,Q3-017,7200,6139.967382770501,1060.032617229499,是,医疗物资,data/q3_boxes.csv
q3,S008-WAT-01,Q3-017,7200,6139.967382770501,1060.032617229499,是,饮用水,data/q3_boxes.csv
q3,S009-MED-01,Q3-G1-2,10800,8151.240639255691,2648.7593607443087,是,医疗物资,data/q3_boxes.csv
q3,S009-WAT-01,Q3-G1-2,10800,8151.240639255691,2648.7593607443087,是,饮用水,data/q3_boxes.csv
q3,S010-MED-01,Q3-002,3600,1162.1711824975305,2437.8288175024695,是,医疗物资,data/q3_boxes.csv
q3,S010-WAT-01,Q3-002,3600,1162.1711824975305,2437.8288175024695,是,饮用水,data/q3_boxes.csv
q3,S011-MED-01,Q3-023,10800,4370.272823903726,6429.727176096274,是,医疗物资,data/q3_boxes.csv
q3,S011-WAT-01,Q3-023,10800,4370.272823903726,6429.727176096274,是,饮用水,data/q3_boxes.csv
q3,S012-MED-01,Q3-001,3600,1271.3434070745934,2328.6565929254066,是,医疗物资,data/q3_boxes.csv
q3,S012-WAT-01,Q3-001,3600,1271.3434070745934,2328.6565929254066,是,饮用水,data/q3_boxes.csv
q3,S013-MED-01,Q3-H2-2,3600,1083.6147419480753,2516.3852580519247,是,医疗物资,data/q3_boxes.csv
q3,S013-WAT-01,Q3-H2-1,3600,3525.428668434838,74.57133156516193,是,饮用水,data/q3_boxes.csv
q3,S014-MED-01,Q3-003,3600,1242.4305043060124,2357.569495693988,是,医疗物资,data/q3_boxes.csv
q3,S014-WAT-01,Q3-003,3600,1242.4305043060124,2357.569495693988,是,饮用水,data/q3_boxes.csv
q3,S015-MED-01,Q3-018,7200,4999.890584428321,2200.109415571679,是,医疗物资,data/q3_boxes.csv
q3,S015-WAT-01,Q3-018,10800,4999.890584428321,5800.109415571679,是,饮用水,data/q3_boxes.csv
